"Time (CET/CEST)","BZN|SE2 > BZN|NO3 [MW]","BZN|NO3 > BZN|SE2 [MW]"
"06.01.2018 13:00 - 06.01.2018 14:00","0","158"
"06.01.2018 14:00 - 06.01.2018 15:00","0","146"
"06.01.2018 15:00 - 06.01.2018 16:00","0","222"
"06.01.2018 16:00 - 06.01.2018 17:00","0","299"
"06.01.2018 17:00 - 06.01.2018 18:00","0","305"
"06.01.2018 18:00 - 06.01.2018 19:00","0","241"
"06.01.2018 19:00 - 06.01.2018 20:00","0","157"
"06.01.2018 20:00 - 06.01.2018 21:00","0","35"
"06.01.2018 21:00 - 06.01.2018 22:00","0","8"
"06.01.2018 22:00 - 06.01.2018 23:00","176","0"
"06.01.2018 23:00 - 07.01.2018 00:00","270","0"
"07.01.2018 00:00 - 07.01.2018 01:00","524","0"
"07.01.2018 01:00 - 07.01.2018 02:00","706","0"
"07.01.2018 02:00 - 07.01.2018 03:00","682","0"
"07.01.2018 03:00 - 07.01.2018 04:00","580","0"
"07.01.2018 04:00 - 07.01.2018 05:00","512","0"
"07.01.2018 05:00 - 07.01.2018 06:00","546","0"
"07.01.2018 06:00 - 07.01.2018 07:00","546","0"
"07.01.2018 07:00 - 07.01.2018 08:00","507","0"
"07.01.2018 08:00 - 07.01.2018 09:00","396","0"
"07.01.2018 09:00 - 07.01.2018 10:00","308","0"
"07.01.2018 10:00 - 07.01.2018 11:00","228","0"
"07.01.2018 11:00 - 07.01.2018 12:00","165","0"
"07.01.2018 12:00 - 07.01.2018 13:00","174","0"
"07.01.2018 13:00 - 07.01.2018 14:00","465","0"
"07.01.2018 14:00 - 07.01.2018 15:00","503","0"
"07.01.2018 15:00 - 07.01.2018 16:00","280","0"
"07.01.2018 16:00 - 07.01.2018 17:00","112","0"
"07.01.2018 17:00 - 07.01.2018 18:00","0","134"
"07.01.2018 18:00 - 07.01.2018 19:00","0","154"
"07.01.2018 19:00 - 07.01.2018 20:00","0","109"
"07.01.2018 20:00 - 07.01.2018 21:00","33","0"
"07.01.2018 21:00 - 07.01.2018 22:00","253","0"
"07.01.2018 22:00 - 07.01.2018 23:00","244","0"
"07.01.2018 23:00 - 08.01.2018 00:00","605","0"
"08.01.2018 00:00 - 08.01.2018 01:00","911","0"
"08.01.2018 01:00 - 08.01.2018 02:00","993","0"
"08.01.2018 02:00 - 08.01.2018 03:00","952","0"
"08.01.2018 03:00 - 08.01.2018 04:00","845","0"
"08.01.2018 04:00 - 08.01.2018 05:00","806","0"
"08.01.2018 05:00 - 08.01.2018 06:00","491","0"
"08.01.2018 06:00 - 08.01.2018 07:00","0","35"
"08.01.2018 07:00 - 08.01.2018 08:00","0","333"
"08.01.2018 08:00 - 08.01.2018 09:00","0","286"
"08.01.2018 09:00 - 08.01.2018 10:00","0","252"
"08.01.2018 10:00 - 08.01.2018 11:00","0","289"
"08.01.2018 11:00 - 08.01.2018 12:00","0","312"
"08.01.2018 12:00 - 08.01.2018 13:00","0","319"
"08.01.2018 13:00 - 08.01.2018 14:00","0","323"
"08.01.2018 14:00 - 08.01.2018 15:00","0","339"
"08.01.2018 15:00 - 08.01.2018 16:00","0","352"
"08.01.2018 16:00 - 08.01.2018 17:00","0","366"
"08.01.2018 17:00 - 08.01.2018 18:00","0","389"
"08.01.2018 18:00 - 08.01.2018 19:00","0","351"
"08.01.2018 19:00 - 08.01.2018 20:00","0","177"
"08.01.2018 20:00 - 08.01.2018 21:00","71","0"
"08.01.2018 21:00 - 08.01.2018 22:00","179","0"
"08.01.2018 22:00 - 08.01.2018 23:00","238","0"
"08.01.2018 23:00 - 09.01.2018 00:00","494","0"
"09.01.2018 00:00 - 09.01.2018 01:00","508","0"
"09.01.2018 01:00 - 09.01.2018 02:00","628","0"
"09.01.2018 02:00 - 09.01.2018 03:00","642","0"
"09.01.2018 03:00 - 09.01.2018 04:00","595","0"
"09.01.2018 04:00 - 09.01.2018 05:00","492","0"
"09.01.2018 05:00 - 09.01.2018 06:00","217","0"
"09.01.2018 06:00 - 09.01.2018 07:00","9","0"
"09.01.2018 07:00 - 09.01.2018 08:00","0","253"
"09.01.2018 08:00 - 09.01.2018 09:00","0","209"
"09.01.2018 09:00 - 09.01.2018 10:00","0","186"
"09.01.2018 10:00 - 09.01.2018 11:00","0","198"
"09.01.2018 11:00 - 09.01.2018 12:00","0","177"
"09.01.2018 12:00 - 09.01.2018 13:00","0","189"
"09.01.2018 13:00 - 09.01.2018 14:00","0","194"
"09.01.2018 14:00 - 09.01.2018 15:00","0","189"
"09.01.2018 15:00 - 09.01.2018 16:00","0","219"
"09.01.2018 16:00 - 09.01.2018 17:00","0","301"
"09.01.2018 17:00 - 09.01.2018 18:00","0","371"
"09.01.2018 18:00 - 09.01.2018 19:00","0","321"
"09.01.2018 19:00 - 09.01.2018 20:00","0","285"
"09.01.2018 20:00 - 09.01.2018 21:00","0","173"
"09.01.2018 21:00 - 09.01.2018 22:00","0","97"
"09.01.2018 22:00 - 09.01.2018 23:00","0","16"
"09.01.2018 23:00 - 10.01.2018 00:00","71","0"
"10.01.2018 00:00 - 10.01.2018 01:00","39","0"
"10.01.2018 01:00 - 10.01.2018 02:00","109","0"
"10.01.2018 02:00 - 10.01.2018 03:00","145","0"
"10.01.2018 03:00 - 10.01.2018 04:00","110","0"
"10.01.2018 04:00 - 10.01.2018 05:00","38","0"
"10.01.2018 05:00 - 10.01.2018 06:00","0","418"
"10.01.2018 06:00 - 10.01.2018 07:00","0","638"
"10.01.2018 07:00 - 10.01.2018 08:00","0","661"
"10.01.2018 08:00 - 10.01.2018 09:00","0","493"
"10.01.2018 09:00 - 10.01.2018 10:00","0","463"
"10.01.2018 10:00 - 10.01.2018 11:00","0","491"
"10.01.2018 11:00 - 10.01.2018 12:00","0","521"
"10.01.2018 12:00 - 10.01.2018 13:00","0","500"
"10.01.2018 13:00 - 10.01.2018 14:00","0","585"
"10.01.2018 14:00 - 10.01.2018 15:00","0","721"
"10.01.2018 15:00 - 10.01.2018 16:00","0","628"
"10.01.2018 16:00 - 10.01.2018 17:00","0","563"
"10.01.2018 17:00 - 10.01.2018 18:00","0","523"
"10.01.2018 18:00 - 10.01.2018 19:00","0","559"
"10.01.2018 19:00 - 10.01.2018 20:00","0","535"
"10.01.2018 20:00 - 10.01.2018 21:00","0","491"
"10.01.2018 21:00 - 10.01.2018 22:00","0","468"
"10.01.2018 22:00 - 10.01.2018 23:00","0","459"
"10.01.2018 23:00 - 11.01.2018 00:00","0","338"
"11.01.2018 00:00 - 11.01.2018 01:00","0","431"
"11.01.2018 01:00 - 11.01.2018 02:00","0","343"
"11.01.2018 02:00 - 11.01.2018 03:00","0","328"
"11.01.2018 03:00 - 11.01.2018 04:00","0","369"
"11.01.2018 04:00 - 11.01.2018 05:00","0","539"
"11.01.2018 05:00 - 11.01.2018 06:00","0","616"
"11.01.2018 06:00 - 11.01.2018 07:00","0","633"
"11.01.2018 07:00 - 11.01.2018 08:00","0","602"
"11.01.2018 08:00 - 11.01.2018 09:00","0","524"
"11.01.2018 09:00 - 11.01.2018 10:00","0","536"
"11.01.2018 10:00 - 11.01.2018 11:00","0","558"
"11.01.2018 11:00 - 11.01.2018 12:00","0","571"
"11.01.2018 12:00 - 11.01.2018 13:00","0","585"
"11.01.2018 13:00 - 11.01.2018 14:00","0","603"
"11.01.2018 14:00 - 11.01.2018 15:00","0","611"
"11.01.2018 15:00 - 11.01.2018 16:00","0","654"
"11.01.2018 16:00 - 11.01.2018 17:00","0","595"
"11.01.2018 17:00 - 11.01.2018 18:00","0","591"
"11.01.2018 18:00 - 11.01.2018 19:00","0","556"
"11.01.2018 19:00 - 11.01.2018 20:00","0","519"
"11.01.2018 20:00 - 11.01.2018 21:00","0","538"
"11.01.2018 21:00 - 11.01.2018 22:00","0","494"
"11.01.2018 22:00 - 11.01.2018 23:00","0","374"
"11.01.2018 23:00 - 12.01.2018 00:00","0","307"
"12.01.2018 00:00 - 12.01.2018 01:00","0","269"
"12.01.2018 01:00 - 12.01.2018 02:00","0","188"
"12.01.2018 02:00 - 12.01.2018 03:00","0","138"
"12.01.2018 03:00 - 12.01.2018 04:00","0","160"
"12.01.2018 04:00 - 12.01.2018 05:00","0","290"
"12.01.2018 05:00 - 12.01.2018 06:00","0","527"
"12.01.2018 06:00 - 12.01.2018 07:00","0","587"
"12.01.2018 07:00 - 12.01.2018 08:00","0","598"
"12.01.2018 08:00 - 12.01.2018 09:00","0","425"
"12.01.2018 09:00 - 12.01.2018 10:00","0","423"
"12.01.2018 10:00 - 12.01.2018 11:00","0","517"
"12.01.2018 11:00 - 12.01.2018 12:00","0","472"
"12.01.2018 12:00 - 12.01.2018 13:00","0","498"
"12.01.2018 13:00 - 12.01.2018 14:00","0","514"
"12.01.2018 14:00 - 12.01.2018 15:00","0","487"
"12.01.2018 15:00 - 12.01.2018 16:00","0","517"
"12.01.2018 16:00 - 12.01.2018 17:00","0","525"
"12.01.2018 17:00 - 12.01.2018 18:00","0","557"
"12.01.2018 18:00 - 12.01.2018 19:00","0","550"
"12.01.2018 19:00 - 12.01.2018 20:00","0","453"
"12.01.2018 20:00 - 12.01.2018 21:00","0","365"
"12.01.2018 21:00 - 12.01.2018 22:00","0","378"
"12.01.2018 22:00 - 12.01.2018 23:00","0","267"
"12.01.2018 23:00 - 13.01.2018 00:00","0","166"
"13.01.2018 00:00 - 13.01.2018 01:00","0","188"
"13.01.2018 01:00 - 13.01.2018 02:00","0","196"
"13.01.2018 02:00 - 13.01.2018 03:00","0","198"
"13.01.2018 03:00 - 13.01.2018 04:00","0","118"
"13.01.2018 04:00 - 13.01.2018 05:00","0","42"
"13.01.2018 05:00 - 13.01.2018 06:00","0","140"
"13.01.2018 06:00 - 13.01.2018 07:00","0","129"
"13.01.2018 07:00 - 13.01.2018 08:00","0","324"
"13.01.2018 08:00 - 13.01.2018 09:00","0","343"
"13.01.2018 09:00 - 13.01.2018 10:00","0","319"
"13.01.2018 10:00 - 13.01.2018 11:00","0","330"
"13.01.2018 11:00 - 13.01.2018 12:00","0","319"
"13.01.2018 12:00 - 13.01.2018 13:00","0","329"
"13.01.2018 13:00 - 13.01.2018 14:00","0","296"
"13.01.2018 14:00 - 13.01.2018 15:00","0","237"
"13.01.2018 15:00 - 13.01.2018 16:00","0","229"
"13.01.2018 16:00 - 13.01.2018 17:00","0","293"
"13.01.2018 17:00 - 13.01.2018 18:00","0","361"
"13.01.2018 18:00 - 13.01.2018 19:00","0","363"
"13.01.2018 19:00 - 13.01.2018 20:00","0","263"
"13.01.2018 20:00 - 13.01.2018 21:00","0","130"
"13.01.2018 21:00 - 13.01.2018 22:00","0","53"
"13.01.2018 22:00 - 13.01.2018 23:00","67","0"
"13.01.2018 23:00 - 14.01.2018 00:00","312","0"
"14.01.2018 00:00 - 14.01.2018 01:00","390","0"
"14.01.2018 01:00 - 14.01.2018 02:00","418","0"
"14.01.2018 02:00 - 14.01.2018 03:00","469","0"
"14.01.2018 03:00 - 14.01.2018 04:00","450","0"
"14.01.2018 04:00 - 14.01.2018 05:00","492","0"
"14.01.2018 05:00 - 14.01.2018 06:00","485","0"
"14.01.2018 06:00 - 14.01.2018 07:00","558","0"
"14.01.2018 07:00 - 14.01.2018 08:00","522","0"
"14.01.2018 08:00 - 14.01.2018 09:00","422","0"
"14.01.2018 09:00 - 14.01.2018 10:00","194","0"
"14.01.2018 10:00 - 14.01.2018 11:00","71","0"
"14.01.2018 11:00 - 14.01.2018 12:00","0","74"
"14.01.2018 12:00 - 14.01.2018 13:00","0","22"
"14.01.2018 13:00 - 14.01.2018 14:00","111","0"
"14.01.2018 14:00 - 14.01.2018 15:00","0","6"
"14.01.2018 15:00 - 14.01.2018 16:00","0","104"
"14.01.2018 16:00 - 14.01.2018 17:00","0","159"
"14.01.2018 17:00 - 14.01.2018 18:00","0","155"
"14.01.2018 18:00 - 14.01.2018 19:00","0","129"
"14.01.2018 19:00 - 14.01.2018 20:00","0","29"
"14.01.2018 20:00 - 14.01.2018 21:00","85","0"
"14.01.2018 21:00 - 14.01.2018 22:00","206","0"
"14.01.2018 22:00 - 14.01.2018 23:00","335","0"
"14.01.2018 23:00 - 15.01.2018 00:00","485","0"
"15.01.2018 00:00 - 15.01.2018 01:00","747","0"
"15.01.2018 01:00 - 15.01.2018 02:00","757","0"
"15.01.2018 02:00 - 15.01.2018 03:00","714","0"
"15.01.2018 03:00 - 15.01.2018 04:00","735","0"
"15.01.2018 04:00 - 15.01.2018 05:00","702","0"
"15.01.2018 05:00 - 15.01.2018 06:00","429","0"
"15.01.2018 06:00 - 15.01.2018 07:00","67","0"
"15.01.2018 07:00 - 15.01.2018 08:00","0","23"
"15.01.2018 08:00 - 15.01.2018 09:00","0","16"
"15.01.2018 09:00 - 15.01.2018 10:00","74","0"
"15.01.2018 10:00 - 15.01.2018 11:00","142","0"
"15.01.2018 11:00 - 15.01.2018 12:00","228","0"
"15.01.2018 12:00 - 15.01.2018 13:00","332","0"
"15.01.2018 13:00 - 15.01.2018 14:00","356","0"
"15.01.2018 14:00 - 15.01.2018 15:00","289","0"
"15.01.2018 15:00 - 15.01.2018 16:00","278","0"
"15.01.2018 16:00 - 15.01.2018 17:00","330","0"
"15.01.2018 17:00 - 15.01.2018 18:00","191","0"
"15.01.2018 18:00 - 15.01.2018 19:00","280","0"
"15.01.2018 19:00 - 15.01.2018 20:00","432","0"
"15.01.2018 20:00 - 15.01.2018 21:00","600","0"
"15.01.2018 21:00 - 15.01.2018 22:00","577","0"
"15.01.2018 22:00 - 15.01.2018 23:00","580","0"
"15.01.2018 23:00 - 16.01.2018 00:00","653","0"
"16.01.2018 00:00 - 16.01.2018 01:00","642","0"
"16.01.2018 01:00 - 16.01.2018 02:00","621","0"
"16.01.2018 02:00 - 16.01.2018 03:00","628","0"
"16.01.2018 03:00 - 16.01.2018 04:00","651","0"
"16.01.2018 04:00 - 16.01.2018 05:00","656","0"
"16.01.2018 05:00 - 16.01.2018 06:00","627","0"
"16.01.2018 06:00 - 16.01.2018 07:00","423","0"
"16.01.2018 07:00 - 16.01.2018 08:00","53","0"
"16.01.2018 08:00 - 16.01.2018 09:00","0","11"
"16.01.2018 09:00 - 16.01.2018 10:00","4","0"
"16.01.2018 10:00 - 16.01.2018 11:00","0","11"
"16.01.2018 11:00 - 16.01.2018 12:00","17","0"
"16.01.2018 12:00 - 16.01.2018 13:00","0","2"
"16.01.2018 13:00 - 16.01.2018 14:00","0","49"
"16.01.2018 14:00 - 16.01.2018 15:00","0","37"
"16.01.2018 15:00 - 16.01.2018 16:00","0","70"
"16.01.2018 16:00 - 16.01.2018 17:00","0","122"
"16.01.2018 17:00 - 16.01.2018 18:00","0","191"
"16.01.2018 18:00 - 16.01.2018 19:00","0","161"
"16.01.2018 19:00 - 16.01.2018 20:00","0","127"
"16.01.2018 20:00 - 16.01.2018 21:00","32","0"
"16.01.2018 21:00 - 16.01.2018 22:00","70","0"
"16.01.2018 22:00 - 16.01.2018 23:00","200","0"
"16.01.2018 23:00 - 17.01.2018 00:00","537","0"
"17.01.2018 00:00 - 17.01.2018 01:00","563","0"
"17.01.2018 01:00 - 17.01.2018 02:00","562","0"
"17.01.2018 02:00 - 17.01.2018 03:00","565","0"
"17.01.2018 03:00 - 17.01.2018 04:00","549","0"
"17.01.2018 04:00 - 17.01.2018 05:00","532","0"
"17.01.2018 05:00 - 17.01.2018 06:00","255","0"
"17.01.2018 06:00 - 17.01.2018 07:00","0","150"
"17.01.2018 07:00 - 17.01.2018 08:00","0","377"
"17.01.2018 08:00 - 17.01.2018 09:00","0","298"
"17.01.2018 09:00 - 17.01.2018 10:00","0","278"
"17.01.2018 10:00 - 17.01.2018 11:00","0","376"
"17.01.2018 11:00 - 17.01.2018 12:00","0","295"
"17.01.2018 12:00 - 17.01.2018 13:00","0","258"
"17.01.2018 13:00 - 17.01.2018 14:00","0","249"
"17.01.2018 14:00 - 17.01.2018 15:00","0","271"
"17.01.2018 15:00 - 17.01.2018 16:00","0","318"
"17.01.2018 16:00 - 17.01.2018 17:00","0","323"
"17.01.2018 17:00 - 17.01.2018 18:00","0","416"
"17.01.2018 18:00 - 17.01.2018 19:00","0","449"
"17.01.2018 19:00 - 17.01.2018 20:00","0","351"
"17.01.2018 20:00 - 17.01.2018 21:00","0","37"
"17.01.2018 21:00 - 17.01.2018 22:00","95","0"
"17.01.2018 22:00 - 17.01.2018 23:00","198","0"
"17.01.2018 23:00 - 18.01.2018 00:00","234","0"
"18.01.2018 00:00 - 18.01.2018 01:00","314","0"
"18.01.2018 01:00 - 18.01.2018 02:00","375","0"
"18.01.2018 02:00 - 18.01.2018 03:00","391","0"
"18.01.2018 03:00 - 18.01.2018 04:00","355","0"
"18.01.2018 04:00 - 18.01.2018 05:00","226","0"
"18.01.2018 05:00 - 18.01.2018 06:00","0","20"
"18.01.2018 06:00 - 18.01.2018 07:00","0","124"
"18.01.2018 07:00 - 18.01.2018 08:00","0","330"
"18.01.2018 08:00 - 18.01.2018 09:00","0","308"
"18.01.2018 09:00 - 18.01.2018 10:00","0","302"
"18.01.2018 10:00 - 18.01.2018 11:00","0","339"
"18.01.2018 11:00 - 18.01.2018 12:00","0","385"
"18.01.2018 12:00 - 18.01.2018 13:00","0","468"
"18.01.2018 13:00 - 18.01.2018 14:00","0","399"
"18.01.2018 14:00 - 18.01.2018 15:00","0","346"
"18.01.2018 15:00 - 18.01.2018 16:00","0","456"
"18.01.2018 16:00 - 18.01.2018 17:00","0","480"
"18.01.2018 17:00 - 18.01.2018 18:00","0","563"
"18.01.2018 18:00 - 18.01.2018 19:00","0","575"
"18.01.2018 19:00 - 18.01.2018 20:00","0","503"
"18.01.2018 20:00 - 18.01.2018 21:00","0","428"
"18.01.2018 21:00 - 18.01.2018 22:00","0","368"
"18.01.2018 22:00 - 18.01.2018 23:00","0","286"
"18.01.2018 23:00 - 19.01.2018 00:00","0","186"
"19.01.2018 00:00 - 19.01.2018 01:00","0","235"
"19.01.2018 01:00 - 19.01.2018 02:00","0","244"
"19.01.2018 02:00 - 19.01.2018 03:00","0","195"
"19.01.2018 03:00 - 19.01.2018 04:00","0","187"
"19.01.2018 04:00 - 19.01.2018 05:00","0","313"
"19.01.2018 05:00 - 19.01.2018 06:00","0","532"
"19.01.2018 06:00 - 19.01.2018 07:00","0","633"
"19.01.2018 07:00 - 19.01.2018 08:00","0","573"
"19.01.2018 08:00 - 19.01.2018 09:00","0","469"
"19.01.2018 09:00 - 19.01.2018 10:00","0","448"
"19.01.2018 10:00 - 19.01.2018 11:00","0","505"
"19.01.2018 11:00 - 19.01.2018 12:00","0","539"
"19.01.2018 12:00 - 19.01.2018 13:00","0","595"
"19.01.2018 13:00 - 19.01.2018 14:00","0","581"
"19.01.2018 14:00 - 19.01.2018 15:00","0","533"
"19.01.2018 15:00 - 19.01.2018 16:00","0","553"
"19.01.2018 16:00 - 19.01.2018 17:00","0","518"
"19.01.2018 17:00 - 19.01.2018 18:00","0","480"
"19.01.2018 18:00 - 19.01.2018 19:00","0","480"
"19.01.2018 19:00 - 19.01.2018 20:00","0","511"
"19.01.2018 20:00 - 19.01.2018 21:00","0","509"
"19.01.2018 21:00 - 19.01.2018 22:00","0","508"
"19.01.2018 22:00 - 19.01.2018 23:00","0","519"
"19.01.2018 23:00 - 20.01.2018 00:00","0","432"
"20.01.2018 00:00 - 20.01.2018 01:00","0","299"
"20.01.2018 01:00 - 20.01.2018 02:00","0","185"
"20.01.2018 02:00 - 20.01.2018 03:00","0","77"
"20.01.2018 03:00 - 20.01.2018 04:00","23","0"
"20.01.2018 04:00 - 20.01.2018 05:00","0","32"
"20.01.2018 05:00 - 20.01.2018 06:00","0","146"
